"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00184","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Pseudozyma","Pseudozyma pruni"
"OTU00185","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00186","","","","","","","","","","","","","","","",""
"OTU00187","","","","","","","","","","","","","","","",""
"OTU00188","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00189","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00190","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00191","Eukaryota","","","","","","","","","","","","","","",""
"OTU00192","","","","","","","","","","","","","","","",""
"OTU00193","","","","","","","","","","","","","","","",""
"OTU00194","","","","","","","","","","","","","","","",""
"OTU00195","","","","","","","","","","","","","","","",""
"OTU00196","","","","","","","","","","","","","","","",""
"OTU00197","","","","","","","","","","","","","","","",""
"OTU00198","Eukaryota","","","","","","","","","","","","","","",""
"OTU00199","","","","","","","","","","","","","","","",""
"OTU00200","","","","","","","","","","","","","","","",""
"OTU00201","","","","","","","","","","","","","","","",""
"OTU00202","","","","","","","","","","","","","","","",""
"OTU00203","","","","","","","","","","","","","","","",""
"OTU00204","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00205","","","","","","","","","","","","","","","",""
"OTU00206","","","","","","","","","","","","","","","",""
"OTU00207","","","","","","","","","","","","","","","",""
"OTU00208","","","","","","","","","","","","","","","",""
"OTU00209","","","","","","","","","","","","","","","",""
"OTU00210","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","Phaeosphaeria",""
"OTU00211","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00212","","","","","","","","","","","","","","","",""
"OTU00213","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Stachybotryaceae","","","","",""
"OTU00214","","","","","","","","","","","","","","","",""
"OTU00215","","","","","","","","","","","","","","","",""
"OTU00216","","","","","","","","","","","","","","","",""
"OTU00217","","","","","","","","","","","","","","","",""
"OTU00218","","","","","","","","","","","","","","","",""
"OTU00219","","","","","","","","","","","","","","","",""
"OTU00220","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Xylariomycetidae","","Xylariales","","Apiosporaceae","","","","Nigrospora",""
"OTU00221","","","","","","","","","","","","","","","",""
"OTU00222","","","","","","","","","","","","","","","",""
"OTU00223","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Rhizophydiaceae","","","","Rhizophydium",""
"OTU00224","","","","","","","","","","","","","","","",""
"OTU00225","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00226","","","","","","","","","","","","","","","",""
"OTU00227","","","","","","","","","","","","","","","",""
"OTU00228","","","","","","","","","","","","","","","",""
"OTU00229","","","","","","","","","","","","","","","",""
"OTU00230","","","","","","","","","","","","","","","",""
"OTU00231","","","","","","","","","","","","","","","",""
"OTU00232","","","","","","","","","","","","","","","",""
"OTU00233","","","","","","","","","","","","","","","",""
"OTU00234","","","","","","","","","","","","","","","",""
"OTU00235","","","","","","","","","","","","","","","",""
"OTU00236","","","","","","","","","","","","","","","",""
"OTU00237","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00238","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Leotiomycetes","","","Helotiales","","","","","","",""
"OTU00239","","","","","","","","","","","","","","","",""
"OTU00240","","","","","","","","","","","","","","","",""
"OTU00241","","","","","","","","","","","","","","","",""
"OTU00242","","","","","","","","","","","","","","","",""
"OTU00243","","","","","","","","","","","","","","","",""
